Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
PTK2,0,20,PTM-SEA,0,1,TK,FAK,FAK,PTK2
MAP2K7,0,20,PTM-SEA,0,1,STE,STE7,MEK7,MAP2K7
JAK2,12.37361142781213,12,PTM-SEA,0.6571428571428571,3,TK,JAKA,JAKA,JAK2
MAP3K6,0,20,PTM-SEA,0,1,STE,STE11,ASK,MAP3K6
ABL1,26.29102495214739,7,PTM-SEA,0.8,4,TK,ABL,ABL,ABL1
EGFR,-2.3101121700563434,19,PTM-SEA,0.45714285714285713,2,TK,EGFR,EGFR,EGFR
INSR,7.940790498221511,15,PTM-SEA,0.5714285714285714,3,TK,INSR,INSR,INSR
LCK,29.353409298647716,6,PTM-SEA,0.8285714285714286,4,TK,SRC,SRCB,LCK
FYN,4.219940333495995,16,PTM-SEA,0.5428571428571428,3,TK,SRC,SRCA,FYN
LYN,2.8351307293128287,17,PTM-SEA,0.5142857142857142,3,TK,SRC,SRCB,LYN
RET,9.538913073005357,14,PTM-SEA,0.6,3,TK,RET,RET,RET
IGF1R,0,20,PTM-SEA,0,1,TK,INSR,INSR,IGF1R
MET,0,20,PTM-SEA,0,1,TK,MET,MET,MET
HCK,-36.49077292869517,3,PTM-SEA,0.9142857142857143,4,TK,SRC,SRCB,HCK
PDGFRB,18.497437148961332,9,PTM-SEA,0.7428571428571429,3,TK,PDGFR,PDGFR,PDGFRB
SRC,12.020523833825106,13,PTM-SEA,0.6285714285714286,3,TK,SRC,SRCA,SRC
FLT1,0,20,PTM-SEA,0,1,TK,VEGFR,VEGFR,FLT1
JAK1,24.818416305878152,8,PTM-SEA,0.7714285714285715,4,TK,JAKA,JAKA,JAK1
TYK2,0,20,PTM-SEA,0,1,TK,JAKA,JAKA,TYK2
KDR,-36.06549747362516,4,PTM-SEA,0.8857142857142857,4,TK,VEGFR,VEGFR,KDR
MAP2K2,0,20,PTM-SEA,0,1,STE,STE7,MEK1,MAP2K2
CSK,46.23576544720958,1,PTM-SEA,1,4,TK,CSK,CSK,CSK
MATK,0,20,PTM-SEA,0,1,TK,CSK,CSK,MATK
ZAP70,-36.49077292869517,3,PTM-SEA,0.9142857142857143,4,TK,SYK,SYK,ZAP70
SYK,-40.40467755541827,2,PTM-SEA,0.9714285714285714,4,TK,SYK,SYK,SYK
MAP2K4,-2.655843079543031,18,PTM-SEA,0.4857142857142857,2,STE,STE7,MEK4,MAP2K4
MAP2K3,0,20,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K3
MAP2K6,0,20,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K6
EPHA4,0,20,PTM-SEA,0,1,TK,EPH,EPH,EPHA4
MAP2K1,-13.968425400279303,11,PTM-SEA,0.6857142857142857,3,STE,STE7,MEK1,MAP2K1
ITK,-14.127732571867142,10,PTM-SEA,0.7142857142857143,3,TK,TEC,TEC,ITK
DYRK1A,0,20,PTM-SEA,0,1,CMGC,DYRK,DYRK1,DYRK1A
PTK6,35.74923786988762,5,PTM-SEA,0.8571428571428571,4,TK,SRC,SRM,PTK6
ERBB4,0,20,PTM-SEA,0,1,TK,EGFR,EGFR,ERBB4
MAP3K5,0,20,PTM-SEA,0,1,STE,STE11,ASK,MAP3K5
ALK,0,20,PTM-SEA,0,1,TK,ALK,ALK,ALK
AAK1,305,269,KEA3,0.07714285714285714,1,OTHER,NAK,BIKE,AAK1
ABL1,57.33333333333333,37,KEA3,0.8857142857142857,4,TK,ABL,ABL,ABL1
ABL2,89.66666666666667,89,KEA3,0.7114285714285714,3,TK,ABL,ABL,ABL2
ACVR1,162.5,169,KEA3,0.3914285714285714,2,TKL,STKR,TYPE1,ACVR1
ACVR1B,197,205,KEA3,0.28,2,TKL,STKR,TYPE1,ACVR1B
ACVR2B,7,3,KEA3,0.9914285714285714,4,TKL,STKR,TYPE2,ACVR2B
AKT1,85,81,KEA3,0.7428571428571429,3,AGC,AKT,AKT,AKT1
AKT2,136.33333333333334,145,KEA3,0.48,2,AGC,AKT,AKT,AKT2
AKT3,221,219,KEA3,0.23142857142857143,1,AGC,AKT,AKT,AKT3
ALK,12,8,KEA3,0.9742857142857143,4,TK,ALK,ALK,ALK
ARAF,47.5,26,KEA3,0.9171428571428571,4,TKL,RAF,RAF,ARAF
ATM,96.33333333333333,97,KEA3,0.6685714285714286,3,ATYPICAL,PIKK,ATM,ATM
ATR,98.33333333333333,98,KEA3,0.6657142857142857,3,ATYPICAL,PIKK,ATR,ATR
